Place,Location,Coordinate,Google Maps Rating,Google Reviews (Count),Description,Tourism/Visitor Fee (approx in USD)
Tanah Lot,"Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 82121","8.6212Â° S, 115.0868Â° E",4.6,75899,"is a rock formation off the Indonesian island of Bali. It is home to the ancient Hindu pilgrimage temple Pura Tanah Lot (literally ""Tanah Lot temple""), a popular tourist and cultural icon for photography","Yes, entrance tickets cost 20,000 Rupiah for Indonesian nationals (Rp 15,000 for children), but foreigners have to pay three times the price, or Rp 60,000 (Rp 30,000 for children)."
Mount Batur,"Bangli Regency, Bali, Indonesia",8Â°14â€²20â€³S 115Â°22â€²39â€³E,4.5,2580,"Mount Batur (Gunung Batur) is an active volcano located at the center of two concentric calderas north west of Mount Agung on the island of Bali, Indonesia","Yes, The Mount Batur trekking price is around IDR 100.000 ($6.38 USD) per person. It may vary from one season to another. The Mount Batur trek cost will be around IDR 800.000 ($51 USD) for 3 people inclusive of registration, private transfer, and a guide till 1PM."
Uluwatu Temple,"Uluwatu (South Kuta, Badung)","8.8291Â° S, 115.0849Â° E",4.6,28800,The temple is regarded as one of the sad kahyangan and is dedicated to Sang Hyang Widhi Wasa in his manifestation as Rudra.[1],"Yes, The Uluwatu Temple Bali entrance fee is IDR 30,000 ($2 USD) per person for adults and IDR 15,000 ($1 USD) for children"
Ubud Monkey Forest,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571","8.5194Â° S, 115.2606Â° E",4.5,36099,"Mandala Suci Wenara Wana, or well known as Ubud Monkey Forest, is the sanctuary and natural habitat of the Balinese long-tailed macaque.","Yes, Visit to the Ubud Monkey Forest are subject to an entrance fee of 50,000 IDR ($3 USD) per person for adult, and 40,000 IDR ($2.6 USD) per person for kid. The ticket can be bought at the ticket counter which located just before the entrance gate of the forest."
Goa Gajah,"Gianyar Regency, Bali","8.5069Â° S, 115.2625Â° E",4.2,6683,"Goa Gajah, or Elephant Cave, is located on the island of Bali near Ubud, in Indonesia. Built in the 9th century, it served as a sanctuary.","Yes, Adult 50.000 IDR ($3.4 USD), Child 25.000 IDR($ 1.6 USD), Parking 2500 - 10000 IDR ($ 0.15 USD - 0.64 USD)"
Jatiluwih Rice Terraces in Bali,"Village, Jl. Jatiluwih Kawan No.Desa, Jatiluwih, Kec. Penebel, Kabupaten Tabanan, Bali 82152","8Â°22'07.1""S 115Â°07'49.7""E",4.7,7798,"Jatiluwih rice terraces cover more than 600 hectares of rice fields along the hillsides of the Batukaru mountain range and tend to be less crowded than Tegallalang. You'll also find fewer tourist touts here, so it's easier to walk around and explore without being hassled.","Yes, The entrance fee for Jatiluwih Rice Terrace is 40,000 IDR per person (about $3 USD) and an extra 5,000 IDR (35c USD) for the car park."
Tenggalang Rice Terrace,"Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561","8.4028Â° S, 115.2880Â° E",4.4,33732,"Tegallalang is a district in the Gianyar Regency, Bali, Indonesia.","Yes, 15.000 IDR ($1) per person, and 5000 ($ 0.33 USD) IDR for parking."
Pura Ulun Danu Bratan,"Danau Beratan, Candikuning, Kec. Baturiti, Kabupaten Tabanan, Bali 82191","8Â° 16â€² 31â€³ S, 115Â° 9â€² 59â€³ E",4.7,29178,"Pura Ulun Danu Beratan, or Pura Bratan, is a major Hindu Shaivite temple in Bali, Indonesia.","Yes, Adult 50.000 IDR ($3.4 USD), Child 25.000 IDR($ 1.6 USD), Parking 2500 - 10000 IDR ($ 0.15 USD - 0.64 USD)"
Seminyak Beach,"Kuta, Badung Regency, Bali","8.6913Â° S, 115.1682Â° E",4.5,3195,"Seminyak is a mixed tourist residential area on the west coast of Bali in Indonesia, just north of Kuta and Legian.","Yes, depending on location and places visited."
Nusa Dua Beach,"Kuta, Badung Regency, Bali","8.7941Â° S, 115.2302Â° E",4.6,6171,"Nusa Dua is a resort area built in the 1970s in the southern part of Bali, Indonesia","Yes, depending on location and places visited."
Besakih Temple (Pura Besakih),"Besakih countryside, Rendang sub district, Karangasem regency, Bali","8.3739Â° S, 115.4522Â° E",4.5,9672,"is a pura complex in the village of Besakih on the slopes of Mount Agung in eastern Bali, Indonesia. It is the most important, the largest and holiest temple of Balinese Hinduism,[1] and one of a series of Balinese temples.","Yes, visit to the Besakih Temple (Pura Besakih) are subject to an entrance fee of IDR 60,000 IDR ($ 4 USD) per person for adult, and IDR 30,000 ($ 2 USD) IDR per person for kid."
Kuta Beach,"Kuta District, Badung Regency, southern Bali","8.7185Â° S, 115.1686Â° E",4.5,37663,"Kuta is a tourist area, administratively an urban village (kelurahan), and the capital of Kuta District, Badung Regency, southern Bali, Indonesia. A former fishing village, it was one of the first towns on Bali to see substantial tourist development, and as a beach resort remains one of Indonesia's major tourist destinations.","Kuta Beach is accessible 24 hours, 7 days a week. No entrance fee is required. Beach chairs with umbrellas cost Rp50. 000 ($ 3.4 USD)"
Pura Penataran Agung Lempuyang,"Jl. Pura Telaga Mas Lempuyang, Tri Buana, Kec. Abang, Kabupaten Karangasem, Bali 80852","8Â° 23â€² 29.24â€³ S, 115Â° 37â€² 52.7â€³ E",4.3,6192,"Pura Penataran Agung Lempuyang is a Balinese Hindu temple or pura located in the slope of Mount Lempuyang in Karangasem, Bali. Pura Penataran Agung Lempuyang is considered as part of a complex of pura surrounding Mount Lempuyang, one of the highly regarded temples of Bali.","If previously visitors could explore the temple and give donations. Now for international visitors, the entrance fee is Rp55.000. The admission ticket doesnâ€™t include a sarong, prepare Rp10.000 for the rent or bring one. Besides the entrance ticket, now to get to the temple visitors will have to park their private vehicles in the parking area. Then continue with the shuttle bus which cost another Rp50.000 for a return trip."
Sidemen Valley,Karangasem regency in East Bali,"8Â° 29â€² 4.08â€³ S, 115Â° 26â€² 41.02â€³ E",4.3,172,"Sidemen Valley evokes the feel of Old Bali, before the tourist throngs descended on the island. Sleepy villages snuggle in the valley amid cascading rice terraces, and cloud-capped Mount Agung looms in the background like a benevolent sentry.","Yes, depending on location and places visited."
